Sr No.	Com Code	Doc type	Doc date	Posting date	Customer	reference	Assignment	Document number	doc headertext	Currency	posting key	Account	Amount	Profit center	Reference for  posting	Assignment for posting	Line item text
1	IAL	DZ	27032024	01042024	90558	QCR 000011914	001001000185791		001-001-000011914	USD	40	41200006	0,00	WLA090	QCR 000011914	001001000185791	A2703202407050044608300120010010000119141651045210
2	IAL	DZ	27032024	01042024	90558	QCRI 000011914	001001000185791		001-001-000011914	USD	40	41200016	181,79	WLA090	QCRI 000011914	001001000185791	A2703202407050044608300120010010000119141651045210
3	IAL	DZ	27032024	01042024	90558	QCR 000011915	001001000185790		001-001-000011915	USD	40	41200006	0,00	WLA090	QCR 000011915	001001000185790	A2703202407050044608300120010010000119151654210511
4	IAL	DZ	27032024	01042024	90558	QCRI 000011915	001001000185790		001-001-000011915	USD	40	41200016	1,81	WLA090	QCRI 000011915	001001000185790	A2703202407050044608300120010010000119151654210511
5	IAL	DZ	28032024	01042024	90583	QCRI 000027846	002001000151069		001-001-000027846	USD	40	41200016	0,72	WLA090	QCRI 000027846	002001000151069	A2803202407099237984700120010010000278461234567817
6	IAL	DZ	28032024	01042024	90583	QCRI 000027850	002001000151112		001-001-000027850	USD	40	41200016	1,54	WLA090	QCRI 000027850	002001000151112	A2803202407099237984700120010010000278501234567819
7	IAL	DZ	20032024	01042024	90351	QCRI 000042491	001001000185523		001-001-000042491	USD	40	41200016	70,86	WLA090	QCRI 000042491	001001000185523	A2003202407179199643700120010010000424910014648811
8	IAL	DZ	20032024	01042024	90351	QCR 000042491	001001000185523		001-001-000042491	USD	40	41200006	0,00	WLA090	QCR 000042491	001001000185523	A2003202407179199643700120010010000424910014648811
9	IAL	DZ	20032024	01042024	90351	QCRI 000042492	001001000185511		001-001-000042492	USD	40	41200016	58,01	WLA090	QCRI 000042492	001001000185511	A2003202407179199643700120010010000424920014648914
10	IAL	DZ	20032024	01042024	90351	QCR 000042492	001001000185511		001-001-000042492	USD	40	41200006	0,00	WLA090	QCR 000042492	001001000185511	A2003202407179199643700120010010000424920014648914
11	IAL	DZ	21032024	01042024	90351	QCRI 000042496	001001000185554		001-001-000042496	USD	40	41200016	62,30	WLA090	QCRI 000042496	001001000185554	A2103202407179199643700120010010000424960014649216
12	IAL	DZ	21032024	01042024	90351	QCR 000042496	001001000185554		001-001-000042496	USD	40	41200006	0,00	WLA090	QCR 000042496	001001000185554	A2103202407179199643700120010010000424960014649216
13	IAL	DZ	25032024	01042024	90351	QCRI 000042509	001001000185692		001-001-000042509	USD	40	41200016	10,07	WLA090	QCRI 000042509	001001000185692	A2503202407179199643700120010010000425090014650114
14	IAL	DZ	25032024	01042024	90351	QCR 000042509	001001000185692		001-001-000042509	USD	40	41200006	0,00	WLA090	QCR 000042509	001001000185692	A2503202407179199643700120010010000425090014650114
15	IAL	DZ	27032024	01042024	90932	QCRI 000077923	001001000185712		001-001-000077923	USD	40	41200016	6,72	WLA090	QCRI 000077923	001001000185712	A2703202407179218014700120010010000779230089835716
16	IAL	DZ	27032024	01042024	90932	QCRI 000077924	001001000185725		001-001-000077924	USD	40	41200016	10,00	WLA090	QCRI 000077924	001001000185725	A2703202407179218014700120010010000779240089835819
17	IAL	DZ	27032024	01042024	90448	QCRI 000082105	001001000185786		001-001-000082105	USD	40	41200016	38,84	WLA090	QCRI 000082105	001001000185786	A2703202407179087689600120010010000821050008210519
18	IAL	DZ	27032024	01042024	90683	QCRI 000156385	003001000083327		001-001-000156385	USD	40	41200016	54,13	WLA090	QCRI 000156385	003001000083327	A2703202407019008866900120010010001563851234567815
19	IAL	DZ	27032024	01042024	90683	QCRI 000156386	003001000083384		001-001-000156386	USD	40	41200016	48,92	WLA090	QCRI 000156386	003001000083384	A2703202407019008866900120010010001563861234567810
20	IAL	DZ	28032024	01042024	90683	QCRI 000156426	003001000083430		001-001-000156426	USD	40	41200016	85,29	WLA090	QCRI 000156426	003001000083430	A2803202407019008866900120010010001564261234567811
21	IAL	DZ	28032024	01042024	90683	QCRI 000156465	003001000082871		001-001-000156465	USD	40	41200016	6,96	WLA090	QCRI 000156465	003001000082871	A2803202407019008866900120010010001564651234567814
22	IAL	DZ	28032024	01042024	90683	QCRI 000156481	003001000083377		001-001-000156481	USD	40	41200016	1,83	WLA090	QCRI 000156481	003001000083377	A2803202407019008866900120010010001564811234567811
23	IAL	DZ	28032024	01042024	90683	QCRI 000156551	003001000083382		001-001-000156551	USD	40	41200016	5,62	WLA090	QCRI 000156551	003001000083382	A2803202407019008866900120010010001565511234567811
24	IAL	DZ	28032024	01042024	90683	QCRI 000156563	003001000083326		001-001-000156563	USD	40	41200016	4,13	WLA090	QCRI 000156563	003001000083326	A2803202407019008866900120010010001565631234567817
25	IAL	DZ	28032024	01042024	90683	QCRI 000156569	003001000083440		001-001-000156569	USD	40	41200016	69,90	WLA090	QCRI 000156569	003001000083440	A2803202407019008866900120010010001565691234567811
26	IAL	DZ	28032024	01042024	90683	QCRI 000156570	003001000083509		001-001-000156570	USD	40	41200016	75,84	WLA090	QCRI 000156570	003001000083509	A2803202407019008866900120010010001565701234567815
27	IAL	DZ	28032024	01042024	90683	QCRI 000156579	003001000083505		001-001-000156579	USD	40	41200016	36,60	WLA090	QCRI 000156579	003001000083505	A2803202407019008866900120010010001565791234567814
28	IAL	DZ	28032024	01042024	90683	QCRI 000156580	003001000083513		001-001-000156580	USD	40	41200016	8,51	WLA090	QCRI 000156580	003001000083513	A2803202407019008866900120010010001565801234567811
29	IAL	DZ	28032024	01042024	90683	QCRI 000156587	003001000083491		001-001-000156587	USD	40	41200016	34,76	WLA090	QCRI 000156587	003001000083491	A2803202407019008866900120010010001565871234567818
30	IAL	DZ	30032024	01042024	90683	QCRI 000156607	003001000083546		001-001-000156607	USD	40	41200016	11,60	WLA090	QCRI 000156607	003001000083546	A3003202407019008866900120010010001566071234567812
31	IAL	DZ	30032024	01042024	90683	QCRI 000156612	003001000083526		001-001-000156612	USD	40	41200016	77,61	WLA090	QCRI 000156612	003001000083526	A3003202407019008866900120010010001566121234567811
32	IAL	DZ	30032024	01042024	90683	QCRI 000156619	003001000083525		001-001-000156619	USD	40	41200016	75,84	WLA090	QCRI 000156619	003001000083525	A3003202407019008866900120010010001566191234567818
